iso3,name,value,value_share,area_share,error,area_km2,density
MOZ,Mozambique,97639632189.0105,0.000491039990082707,0.0006844063371852959,0.3937894082109683,811101.7298923803,120379.02101622401
BOL,Bolivia,94083636163.60544,0.00047315651168462286,0.0005382469534591601,0.1375664080851169,1085157.6598697247,86700.43040096162
PRY,Paraguay,91052827192.1658,0.00045791425427425743,0.00047156124943504684,0.029802512224517574,401221.43653266015,226939.08874620646
LBY,Libya,90157596738.50826,0.000453412046070167,0.0005910448191707531,0.3035489998412768,1634350.50677863,55164.17461528034
COD,"Congo, Dem. Rep.",89845305357.06499,0.0004518414998338808,0.0005417605863505029,0.1990058163087738,2323379.1918948633,38670.09985735064
ZWE,Zimbabwe,88703885945.58112,0.0004461011814413425,0.00044208989522261,-0.008991875353865031,376286.80003108055,235734.77979629993
LBN,Lebanon,88102431229.60892,0.0004430764023516951,0.00041270507464652467,-0.06854647989369322,10096.048469435602,8726427.12605104
GIN,Guinea,84838530977.29984,0.0004266619043492622,0.00045065007546373024,0.05622290359167259,239564.35539614444,354136.70300412824
VEN,"Venezuela, RB",82429344914.93134,0.0004145458539950089,0.0005826899995117901,0.4056104865031547,908462.4909219508,90735.00088185053
LVA,Latvia,78239433904.41327,0.0003934743503962501,0.0004146457230160747,0.053806233108978585,63932.04227349783,1223790.6239520581
ZMB,Zambia,75028106244.2959,0.0003773242454949553,0.0004094049112129488,0.08502147980422414,751914.0050136008,99782.82854691445
MDG,Madagascar,74981130909.81049,0.0003770880015921189,0.0005643246346516371,0.49653299036028353,589229.7567682425,127252.79069587498
RWA,Rwanda,74601767249.22928,0.00037518014180246985,0.00032930974754641785,-0.12226231920399055,23364.496935673335,3192954.1412606216
TCD,Chad,70099694783.16742,0.0003525387453784524,0.00037777136924773964,0.07157404455558458,1270420.488075498,55178.34090456007
EST,Estonia,67744901495.23315,0.00034069624201346925,0.0003309387821883289,-0.028639763583757416,44664.02577386584,1516766.577160462
HND,Honduras,67146997547.739456,0.0003376893201123362,0.0003862603000912089,0.14383333166330248,113787.57612783246,590108.3390009508
SLV,El Salvador,59638372629.69811,0.0002999276548681202,0.0002661140908180203,-0.11273906724262528,20895.072300033662,2854183.597613205
BIH,Bosnia and Herzegovina,56224511608.59422,0.00028275898837108206,0.00031782436896088075,0.12401155058519397,50611.03532921263,1110914.0771941787
TKM,Turkmenistan,52628223540.13904,0.00026467287704642727,0.000354101975178233,0.33788538942779023,480754.3372520327,109470.09618459041
CYP,Cyprus,49173406017.134315,0.0002472982359893019,0.0001714639468606614,-0.30665115270745846,6217.914171751305,7908344.286985292
ALB,Albania,48650052359.59755,0.0002446662353452486,0.0002472411520478802,0.010524201261355559,29696.068758448528,1638265.7501005623
NIC,Nicaragua,43513326335.84743,0.0002188330993613163,0.0002883199962219485,0.3175337600364654,129543.62356684387,335897.0911709503
ISL,Iceland,43127603363.49279,0.00021689325792323056,0.00030610928469083204,0.4113360997102986,107879.46305171745,399775.84373790777
JAM,Jamaica,41736015087.2785,0.00020989481397140682,0.0001808405722530424,-0.13842286604719234,12461.546266861178,3349184.298120894
TTO,Trinidad and Tobago,41585469028.46902,0.0002091377019916966,0.00016322277602526657,-0.2195439919687604,7741.862530312579,5371507.032790208
HTI,Haiti,41395170063.61731,0.00020818066846219042,0.0002359069638778441,0.13318381394615098,28536.589235161828,1450599.7798998195
BDI,Burundi,40664834334.98255,0.0002045077331908691,0.0001943071690272646,-0.04987862319164327,26246.072265677092,1549368.3749458154
TGO,Togo,40495733963.07629,0.00020365730961713937,0.0002385346524479686,0.17125505043936817,60963.99870872899,664256.5255037642
AFG,Afghanistan,38399446008.09886,0.00019311485678784175,0.000335699001555944,0.7383385573733816,652320.6172176749,58865.90887144263
GEO,Georgia,38243824473.46556,0.00019233221970585168,0.00021919477693927846,0.13966748407786134,69034.84824955689,553978.5404498377
KGZ,Kyrgyz Republic,37299353457.08772,0.00018758237552764126,0.0002806364167785115,0.49607027839967954,195881.7596280108,190417.69651202363
TJK,Tajikistan,36711091125.56033,0.00018462394232830203,0.00020741337859930776,0.12343705796554327,138043.86952365443,265937.8591185444
GAB,Gabon,36049166393.49486,0.00018129505316125013,0.0002194283339285154,0.21033823097946414,269469.36547170824,133778.3474213869
SLE,Sierra Leone,35096754265.21272,0.00017650527229520803,0.0001870955196223317,0.05999960901684176,75980.45817162223,461918.1709320217
MKD,North Macedonia,34334447591.042805,0.0001726715517727898,0.0001907633878350273,0.10477600899795969,25061.431511364994,1370011.4287355307
BWA,Botswana,33968364872.646744,0.00017083048323964875,0.00020507109771155112,0.20043620917391003,592118.9637361282,57367.4665954195
MNG,Mongolia,33478588870.564884,0.0001683673481600382,0.0006643430485555573,2.945795047648309,1544389.1950138141,21677.559632412107
ARM,Armenia,32757684179.43707,0.00016474184256926825,0.0001768786542457569,0.07367170044480686,28642.440000776645,1143676.4527934366
COG,"Congo, Rep.",32557469449.074852,0.0001637349416110471,0.00017547935517479783,0.07172820564867344,339675.77460962336,95848.66476419148
NAM,Namibia,30442339661.26199,0.0001530977312206933,0.00023310610271033352,0.5225967155209283,824889.1659521781,36904.763594660726
PSE,West Bank and Gaza,29886289633.794098,0.00015030129708988086,0.0003653996375575706,1.4311143325600177,5036.413260402696,5934042.360813831
MDA,Moldova,26266072602.830196,0.00013209484449345414,0.00015450708007168877,0.16966775398524536,32324.011839991825,812587.0245578043
SYR,Syrian Arab Republic,24055548306.7833,0.00012097788507776083,0.00028435319005607086,1.3504559521213109,185167.4612794702,129912.39465381368
BRN,Brunei Darussalam,23101708489.364063,0.00011618092421273671,0.00011942533280343194,0.02792548443455689,10698.035013382507,2159434.74296592
MRT,Mauritania,21558132035.96752,0.00010841811571607538,0.00021928356729816457,1.0225731267311717,1053173.1590981556,20469.693753331125
BHS,"Bahamas, The",19940997877.43357,0.00010028537777589403,0.00011008316622495308,0.09769907304885472,15591.563227966968,1278960.7806396806
GNQ,Equatorial Guinea,19037803382.165512,9.574311756806522e-05,9.456611712099715e-05,-0.012293316501118978,27117.231481857896,702055.5691646574
GUY,Guyana,18585811064.968452,9.347000061772419e-05,0.00011863505604284419,0.2692313604237646,209802.4701689311,88587.18894016511
NCL,New Caledonia,18192715199.127254,9.149308012205337e-05,0.00011354011242445594,0.24096939651601446,23221.495297953963,783442.8819375042
