tile_x,tile_y,cells_per_side,value_usd,drawn_area
1496,2032,8,160126959.12668425,3003877880.5078125
2048,2032,8,512077825.58956766,1289145414.78125
2056,2032,8,329626242.04969,333352411.2265625
2064,2032,8,207207012.15181154,1641434137.6328125
2072,2032,8,201972577.63056618,106706515.234375
2080,2032,8,189749651.16177678,531213771.390625
2088,2032,8,168551489.59923995,179822343.0625
2096,2032,8,172767688.35671443,156088229.1171875
2104,2032,8,228610187.83743507,523062640.0234375
2112,2032,8,202813062.2392066,199571385.53125
2120,2032,8,330671125.47615826,4732241315.0859375
2128,2032,8,5888235612.659343,3135814497.2109375
2136,2032,8,1072177607.4380399,3612060802.1796875
2144,2032,8,268467002.5890965,1871726306.6953125
2152,2032,8,255415973.8491624,258158758.7421875
2160,2032,8,227448246.03572848,848308443.0742188
2168,2032,8,284725384.06230056,463254584.0
2176,2032,8,190939502.38279733,1071379858.875
2184,2032,8,269548200.7845211,996091804.7070312
2192,2032,8,1493325440.0281436,2452262207.3164062
2200,2032,8,1502301948.5175865,1365058972.2695312
2208,2032,8,683836395.2211175,896079867.53125
2216,2032,8,450412138.9044914,5331543106.050781
2224,2032,8,835108892.0346935,2841817976.9296875
2232,2032,8,642910935.4521526,82019811.921875
2240,2032,8,257140621.0730659,512242076.3359375
2248,2032,8,815298556.3570765,809580794.6328125
2256,2032,8,763916479.4578669,247593578.40234375
2264,2032,8,2099281862.0360117,3221364925.6367188
2272,2032,8,1849897151.600309,1551501611.4804688
2280,2032,8,1366431117.8104227,828990892.921875
2288,2032,8,1439430347.9060168,682261823.84375
2296,2032,8,1073808310.951448,865304870.7226562
2304,2032,8,1745985314.7385,2225385119.453125
2312,2032,8,4945766742.514952,2427800007.8476562
2320,2032,8,2084990074.9052982,2199791623.5664062
2328,2032,8,2038429170.4705396,1449763201.8398438
2336,2032,8,1766570875.3232975,1118917936.7539062
2344,2032,8,1102096976.14523,465133439.34765625
2352,2032,8,2716118832.1954083,1625275653.5
2360,2032,8,6614753828.432085,5065522062.5
2368,2032,8,9430301147.78673,6212261632.832031
3288,2032,8,21224467.153616488,299433591.64453125
3296,2032,8,33849021.72871853,70951947.40234375
3304,2032,8,33980101.08696831,43860170.783203125
3312,2032,8,34695779.09491017,14520395.91796875
3320,2032,8,36325521.28308281,49159744.498046875
3328,2032,8,37835169.43559328,46232083.814453125
3336,2032,8,36463711.04659534,9190694.919921875
3344,2032,8,37144371.13767582,35080141.916015625
3352,2032,8,86105191.38108729,28438431.8671875
3360,2032,8,431237411.40565836,108239782.390625
3368,2032,8,440999621.56708777,138994278.9765625
3376,2032,8,432058576.9379531,135073966.84179688
3384,2032,8,454975245.7956911,351887291.796875
3392,2032,8,433935925.02194464,376256167.5214844
3400,2032,8,819337324.553605,687479856.0410156
3408,2032,8,808472706.5034938,1105397411.140625
3416,2032,8,629435367.9542646,161039193.40820312
3424,2032,8,1182919535.664475,1168009060.9238281
